source_row,source_cell,experimental_day,condition,original_cell,rejection_reason
100,K100,2,diseased,:25.224 -> -,missing_sensor_payload
102,K102,2,diseased,:26.611 -> -,missing_sensor_payload
104,K104,2,diseased,:05.588 -> -,missing_sensor_payload
108,K108,2,diseased,:04.423 -> -,missing_sensor_payload
110,K110,2,diseased,:05.793 -> -,missing_sensor_payload
112,K112,2,diseased,:07.228 -> -,missing_sensor_payload
114,K114,2,diseased,:08.615 -> -,missing_sensor_payload
116,K116,2,diseased,:10.032 -> -,missing_sensor_payload
120,K120,2,diseased,:55.620 -> -,missing_sensor_payload
122,K122,2,diseased,:57.020 -> -,missing_sensor_payload
124,K124,2,diseased,:58.444 -> -,missing_sensor_payload
126,K126,2,diseased,:59.820 -> -,missing_sensor_payload
128,K128,2,diseased,:01.220 -> -,missing_sensor_payload
133,K133,3,diseased,:33.401 -> -,missing_sensor_payload
135,K135,3,diseased,:34.784 -> -,missing_sensor_payload
137,K137,3,diseased,:36.220 -> -,missing_sensor_payload
139,K139,3,diseased,:37.583 -> -,missing_sensor_payload
141,K141,3,diseased,:39.019 -> -,missing_sensor_payload
143,K143,3,diseased,:40.411 -> -,missing_sensor_payload
145,K145,3,diseased,:54.654 -> -,missing_sensor_payload
147,K147,3,diseased,:56.074 -> -,missing_sensor_payload
149,K149,3,diseased,:57.497 -> -,missing_sensor_payload
151,K151,3,diseased,:58.854 -> -,missing_sensor_payload
153,K153,3,diseased,:00.271 -> -,missing_sensor_payload
155,K155,3,diseased,:01.654 -> -,missing_sensor_payload
158,K158,3,diseased,:58.194 -> -,missing_sensor_payload
160,K160,3,diseased,:59.574 -> -,missing_sensor_payload
162,K162,3,diseased,:00.995 -> -,missing_sensor_payload
164,K164,3,diseased,:02.374 -> -,missing_sensor_payload
166,K166,3,diseased,:03.774 -> -,missing_sensor_payload
168,K168,3,diseased,:05.216 -> -,missing_sensor_payload
171,K171,3,diseased,:10.347 -> -,missing_sensor_payload
173,K173,3,diseased,:11.744 -> -,missing_sensor_payload
175,K175,3,diseased,:13.160 -> -,missing_sensor_payload
177,K177,3,diseased,:14.543 -> -,missing_sensor_payload
179,K179,3,diseased,:15.959 -> -,missing_sensor_payload
182,K182,3,diseased,:56.768 -> -,missing_sensor_payload
