sample_id,source_row,source_cell,experimental_day,condition,infected,infection_days,label,timestamp_ms,temperature_c,humidity_pct,pressure_pa,gas_resistance_ohm,sraw,quality_flag
VIV-0001,2,C2,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate
VIV-0002,2,K2,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate
VIV-0003,4,C4,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0004,5,K5,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0005,6,C6,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0006,8,C8,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0007,8,K8,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0008,10,C10,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0009,11,K11,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0010,12,C12,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0011,14,C14,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0012,17,C17,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0013,18,K18,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0014,19,C19,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0015,21,C21,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0016,21,K21,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0017,23,C23,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0018,24,K24,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0019,25,C25,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0020,27,C27,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0021,27,K27,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0022,29,C29,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0023,30,K30,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0024,32,C32,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0025,33,K33,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0026,34,C34,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0027,36,C36,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0028,36,K36,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0029,38,C38,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0030,39,K39,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0031,40,C40,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0032,42,C42,1,controlled,0,0,healthy,6472,31.68,51.16,97481.0,6180.0,25315,exact_duplicate;nonincreasing_timestamp
VIV-0033,42,K42,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0034,45,C45,1,controlled,0,0,healthy,142272,30.73,44.03,97475.0,137973.0,29390,
VIV-0035,45,K45,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0036,47,C47,1,controlled,0,0,healthy,143672,30.72,44.03,97475.0,138658.0,29397,
VIV-0037,48,K48,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0038,49,C49,1,controlled,0,0,healthy,145072,30.7,44.02,97474.0,140167.0,29400,
VIV-0039,51,C51,1,controlled,0,0,healthy,146472,30.69,44.02,97474.0,140638.0,29405,
VIV-0040,51,K51,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0041,53,C53,1,controlled,0,0,healthy,147872,30.67,44.02,97474.0,141350.0,29416,
VIV-0042,54,K54,1,diseased,1,1,infected_day_1,1181072,29.87,56.13,97481.0,62070.0,29005,exact_duplicate;nonincreasing_timestamp
VIV-0043,55,C55,1,controlled,0,0,healthy,149272,30.66,44.01,97475.0,142069.0,29422,
VIV-0044,58,C58,1,controlled,0,0,healthy,927672,28.93,50.77,97473.0,160133.0,29727,
VIV-0045,59,K59,1,diseased,1,1,infected_day_1,1692072,32.4,52.75,97501.0,53814.0,28145,
VIV-0046,60,C60,1,controlled,0,0,healthy,929072,28.93,50.77,97473.0,160902.0,29727,
VIV-0047,61,K61,1,diseased,1,1,infected_day_1,1693472,32.4,52.76,97501.0,54057.0,28143,
