window_id,experimental_day,condition,infected,infection_days,label,readings_in_window,source_row_start,source_row_end,timestamp_start_ms,timestamp_end_ms,temperature_c_mean,temperature_c_std,temperature_c_min,temperature_c_max,temperature_c_range,temperature_c_slope,humidity_pct_mean,humidity_pct_std,humidity_pct_min,humidity_pct_max,humidity_pct_range,humidity_pct_slope,pressure_pa_mean,pressure_pa_std,pressure_pa_min,pressure_pa_max,pressure_pa_range,pressure_pa_slope,gas_resistance_ohm_mean,gas_resistance_ohm_std,gas_resistance_ohm_min,gas_resistance_ohm_max,gas_resistance_ohm_range,gas_resistance_ohm_slope,sraw_mean,sraw_std,sraw_min,sraw_max,sraw_range,sraw_slope,sraw_per_humidity_mean,gas_per_humidity_mean,sraw_gas_ratio_mean
WIN-001,1,controlled,0,0,healthy,5,45,53,142272,147872,30.701999999999998,0.021354156504061902,30.67,30.73,0.05999999999999872,-0.015000000000001212,44.02400000000001,0.004898979485565382,44.02,44.03,0.00999999999999801,-0.002999999999999983,97474.4,0.4898979485566356,97474.0,97475.0,1.0,-0.3000000000032519,139757.2,1254.7802038604211,137973.0,141350.0,3377.0,873.3999999999859,29401.6,8.685620300243386,29390.0,29416.0,26.0,5.999999999999945,667.8539228602033,3174.57143187346,0.21039275286688044
WIN-002,1,controlled,0,0,healthy,5,55,64,149272,931872,29.276000000000003,0.6920000000000002,28.93,30.66,1.7300000000000004,-0.34600000000000153,49.426,2.708022156482477,44.01,50.8,6.789999999999999,1.3569999999999944,97473.4,1.019803902718557,97472.0,97475.0,3.0,-0.30000000000856547,156889.2,7415.846206603802,142069.0,160902.0,18833.0,3751.100000000007,29665.0,121.5055554285482,29422.0,29727.0,305.0,60.29999999999739,602.0124276543354,3175.6603861198923,0.18949870310457945
WIN-003,1,diseased,1,1,infected_day_1,5,59,67,1692072,1697672,32.4,0.0,32.4,32.4,0.0,-1.297267614824132e-15,52.75599999999999,0.010198039027185492,52.74,52.77,0.030000000000001137,-0.0010000000000021563,97501.0,0.0,97501.0,97501.0,0.0,2.6568040751598224e-12,53759.0,164.77014292644162,53607.0,54057.0,450.0,-79.50000000000226,28143.2,2.1354156504062622,28140.0,28146.0,6.0,-0.30000000000192345,533.4597187582151,1019.0119742244481,0.5235116400671636
WIN-004,2,controlled,0,0,healthy,5,71,79,1221674,1227274,31.93,0.0,31.93,31.93,0.0,-1.297267614824132e-15,52.02199999999999,0.011661903789691206,52.01,52.04,0.030000000000001137,-0.006000000000001263,97657.0,0.6324555320336759,97656.0,97658.0,2.0,-0.3000000000032519,124260.2,581.2284920751906,123343.0,124720.0,1377.0,367.5999999999923,29308.8,2.1354156504062622,29305.0,29311.0,6.0,1.2999999999997003,563.3924479324314,2388.6111621516425,0.2358714487819394
WIN-005,2,controlled,0,0,healthy,5,83,91,1658474,1664074,32.221999999999994,0.003999999999999204,32.22,32.23,0.00999999999999801,0.002000000000000421,50.534000000000006,0.08957678270623694,50.41,50.67,0.2600000000000051,0.06300000000000223,97652.6,0.4898979485566356,97652.0,97653.0,1.0,-0.3000000000032519,120470.4,491.5752638203025,119728.0,121113.0,1385.0,-311.5999999999999,29349.6,1.3564659966250538,29348.0,29352.0,4.0,-0.29999999999926663,580.79101411756,2383.9710003796617,0.24362902337696335
WIN-006,2,controlled,0,0,healthy,5,94,102,1699074,1704674,32.324,0.007999999999998408,32.31,32.33,0.01999999999999602,0.004999999999995215,50.772000000000006,0.07730459236035125,50.64,50.85,0.21000000000000085,-0.033000000000006295,97653.2,0.7483314773547882,97652.0,97654.0,2.0,0.4999999999885933,119456.0,429.87719176527617,119047.0,120157.0,1110.0,-111.20000000000093,29320.2,0.9797958971132713,29319.0,29322.0,3.0,0.4999999999978921,577.4889581229878,2352.804809978541,0.24545085861018387
WIN-007,2,controlled,0,0,healthy,5,104,114,1706074,2068674,32.290000000000006,0.025298221281347618,32.27,32.34,0.07000000000000028,-0.011000000000004262,49.230000000000004,0.650015384433324,48.9,50.53,1.6300000000000026,-0.32700000000000207,97643.8,4.621688003316538,97641.0,97653.0,12.0,-2.500000000001416,121501.0,436.5954649329285,120851.0,121906.0,1055.0,70.79999999998634,29383.8,32.926585003610676,29318.0,29402.0,84.0,16.099999999999607,596.9784694424745,2468.50027039086,0.2418427075335817
WIN-008,2,controlled,0,0,healthy,5,116,126,2070074,2103674,32.268,0.007483314773549432,32.26,32.28,0.020000000000003126,-0.005000000000004296,48.648,0.13013838787997875,48.54,48.9,0.35999999999999943,-0.047000000000001464,97641.6,0.4898979485566356,97641.0,97642.0,1.0,0.30000000000059507,122121.2,428.4023342606807,121641.0,122890.0,1249.0,26.49999999999854,29408.4,5.314132102234569,29398.0,29412.0,14.0,2.8999999999999955,604.5186372221199,2510.336279608505,0.24081612138897407
WIN-009,2,diseased,1,2,infected_day_2,5,71,79,2747674,2753274,32.182,0.003999999999999204,32.18,32.19,0.00999999999999801,-0.0020000000000030154,46.846,0.05607138307550489,46.78,46.93,0.14999999999999858,-0.039000000000001075,97642.0,0.0,97642.0,97642.0,0.0,-5.313608150319645e-12,124259.0,387.0121445122879,123707.0,124906.0,1199.0,-239.8000000000098,29459.4,1.2000000000000002,29457.0,29460.0,3.0,-0.30000000000059507,628.8571378117441,2652.4949895604323,0.23708290764400797
WIN-010,2,diseased,1,2,infected_day_2,5,83,91,2784074,2789674,32.26,0.006324555320337748,32.25,32.27,0.020000000000003126,0.0039999999999969504,49.117999999999995,0.0897552226892671,48.98,49.23,0.25,0.06299999999999834,97644.6,0.4898979485566356,97644.0,97645.0,1.0,0.29999999999793825,60538.8,859.4392125101111,59724.0,62116.0,2392.0,-409.7000000000005,28853.0,29.147898723578688,28813.0,28895.0,82.0,20.599999999998573,587.423015790213,1232.5459770507805,0.47670265984750804
